INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000001', 'BOK0000001', '2020-05-05', 0, NULL, 'LATE RETURNED', 'FIN0000001');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000001', 'BOK0000002', '2020-05-05', 0, NULL, 'LATE RETURNED', 'FIN0000002');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000002', 'BOK0000004', '2020-05-26', 0, NULL, 'LATE RETURNED', 'FIN0000003');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000003', 'BOK0000005', '2020-10-16', 0, NULL, 'LATE RETURNED', 'FIN0000004');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000003', 'BOK0000006', '2020-10-23', 0, NULL, 'LATE RETURNED', 'FIN0000005');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000003', 'BOK0000007', '2020-10-18', 0, NULL, 'LATE RETURNED', 'FIN0000006');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000004', 'BOK0000008', '2021-03-25', 0, NULL, 'LATE RETURNED', 'FIN0000007');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000004', 'BOK0000009', '2021-03-24', 0, NULL, 'LATE RETURNED', 'FIN0000008');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000004', 'BOK0000010', '2021-03-25', 0, NULL, 'LATE RETURNED', 'FIN0000009');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000004', 'BOK0000011', '2021-03-27', 0, NULL, 'LATE RETURNED', 'FIN0000010');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000006', 'BOK0000011', '2021-05-22', 0, NULL, 'LATE RETURNED', 'FIN0000011');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000006', 'BOK0000012', '2021-05-17', 0, NULL, 'LATE RETURNED', 'FIN0000012');
INSERT INTO LoanDetail (LoanID, BookID, ReturnDate, ExtensionCount, ExtendedDueDate, Status, FineID) VALUES ('LOA0000006', 'BOK0000013', '2021-05-21', 0, NULL, 'LATE RETURNED', 'FIN0000013');
