--SET PAGESIZE 100
--SET LINESIZE 150
DELETE FROM Reservation;

ALTER SESSION SET NLS_DATE_FORMAT='YYYY-MM-DD';

-- Reservation Table
CREATE TABLE Reservation (
    ReservationID 	CHAR (10) 	NOT NULL,
    ReservationDate     DATE    	NOT NULL,
    ReservationStatus 	VARCHAR (50) 	CHECK (UPPER(ReservationStatus) IN ('PENDING', 'READY', 'COMPLETED', 'CANCELLED')) NOT NULL,
    Remark		VARCHAR (100),
    PickupDate          DATE,
    MemberID 		CHAR (10) 	NOT NULL,
    PRIMARY KEY (ReservationID),
    FOREIGN KEY (MemberID) REFERENCES Member(MemberID)
);


/* Data for the table `Reservation` */
INSERT INTO Reservation VALUES ('RES0000001', '2020-04-14', 'COMPLETED', NULL, '2020-04-16', 'MEM0000001');
INSERT INTO Reservation VALUES ('RES0000002', '2020-05-07', 'COMPLETED', NULL, '2020-05-10', 'MEM0000003');
INSERT INTO Reservation VALUES ('RES0000003', '2020-09-18', 'COMPLETED', NULL, '2020-09-30', 'MEM0000039');
INSERT INTO Reservation VALUES ('RES0000004', '2020-09-19', 'CANCELLED', 'I made a reservation error.', NULL, 'MEM0000011');
INSERT INTO Reservation VALUES ('RES0000005', '2021-03-03', 'COMPLETED', NULL, '2021-03-04', 'MEM0000011');
INSERT INTO Reservation VALUES ('RES0000006', '2021-04-23', 'COMPLETED', NULL, '2021-05-05', 'MEM0000031');
INSERT INTO Reservation VALUES ('RES0000007', '2021-04-25', 'COMPLETED', NULL, '2021-05-01', 'MEM0000002');
INSERT INTO Reservation VALUES ('RES0000008', '2021-05-18', 'COMPLETED', NULL, '2021-05-21', 'MEM0000031');
INSERT INTO Reservation VALUES ('RES0000009', '2021-08-07', 'COMPLETED', NULL, '2021-08-11', 'MEM0000002');
INSERT INTO Reservation VALUES ('RES0000010', '2021-08-17', 'CANCELLED', 'I''m not eligible for this book.', NULL, 'MEM0000022');
INSERT INTO Reservation VALUES ('RES0000011', '2021-11-25', 'COMPLETED', NULL, '2021-11-26', 'MEM0000006');
INSERT INTO Reservation VALUES ('RES0000012', '2021-12-25', 'COMPLETED', NULL, '2022-01-04', 'MEM0000013');
INSERT INTO Reservation VALUES ('RES0000013', '2022-01-10', 'COMPLETED', NULL, '2022-01-12', 'MEM0000032');
INSERT INTO Reservation VALUES ('RES0000014', '2022-01-23', 'COMPLETED', NULL, '2022-02-06', 'MEM0000048');
INSERT INTO Reservation VALUES ('RES0000015', '2022-02-14', 'COMPLETED', NULL, '2022-02-24', 'MEM0000022');
INSERT INTO Reservation VALUES ('RES0000016', '2022-03-28', 'COMPLETED', NULL, '2022-03-30', 'MEM0000039');
INSERT INTO Reservation VALUES ('RES0000017', '2022-03-30', 'COMPLETED', NULL, '2022-04-13', 'MEM0000023');
INSERT INTO Reservation VALUES ('RES0000018', '2022-04-04', 'COMPLETED', NULL, '2022-04-18', 'MEM0000002');
INSERT INTO Reservation VALUES ('RES0000019', '2022-05-09', 'CANCELLED', 'I''m not eligible to reserve books from certain collections.', NULL, 'MEM0000048');
INSERT INTO Reservation VALUES ('RES0000020', '2022-05-19', 'COMPLETED', NULL, '2022-05-27', 'MEM0000006');
INSERT INTO Reservation VALUES ('RES0000021', '2022-05-19', 'COMPLETED', NULL, '2022-05-30', 'MEM0000022');
